published	title	item_count	url	description	playlist_id
2024-02-23	Brittany Howard LIVE @ 9:30 Club (DC) 2/21/24	6	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJmG4xyZZvbCuIshBz0YDOW	Selected tracks from the stage left balcony  Full set list https://www.setlist.fm/setlist/brittany-howard/2024/930-club-washington-dc-73addae1.html	PLJ7S-K0cjvGJmG4xyZZvbCuIshBz0YDOW
2024-02-23	Eric Gales LIVE @ Hamilton Live (DC) 2/20/24	6	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJdK5OxTfFL4GWBWDqq4rxz	Selected tracks from the front row With Artur Menezes supporting  full set list https://www.setlist.fm/setlist/eric-gales/2024/the-hamilton-live-washington-dc-2bade40a.html	PLJ7S-K0cjvGJdK5OxTfFL4GWBWDqq4rxz
2024-02-25	Joe Bonamassa LIVE @ MGM National Harbor 2/24/24	4	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK4BVPC2dM64vnOaegW09jL	selected tracks from the front row stage right  full set list https://www.setlist.fm/setlist/joe-bonamassa/2024/the-theater-at-mgm-national-harbor-national-harbor-md-1bad39a8.html	PLJ7S-K0cjvGK4BVPC2dM64vnOaegW09jL
2024-02-26	Selwyn Birchwood LIVE @ Collective Encore 2/25/24	7	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJVT2D2wyr7quX0dlVx6FPB	Selected tracks from a front table.  Full set list at https://www.setlist.fm/setlist/selwyn-birchwood/2024/the-collective-encore-columbia-md-6bad0afa.html	PLJ7S-K0cjvGJVT2D2wyr7quX0dlVx6FPB
2024-03-03	Trombone Shorty & Orleans Avenue LIVE @ Hollywood Casino (WV) 3/2/24	7	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-rUROrCAFQXyv12XRnypG	Selected tracks from 6th row center  Full set list at https://www.setlist.fm/setlist/troy-trombone-shorty-andrews-and-orleans-avenue/2024/the-event-center-at-hollywood-casino-ranson-wv-1bad49ac.html	PLJ7S-K0cjvGI-rUROrCAFQXyv12XRnypG
2024-03-17	Enter the Haggis LIVE @ Hamilton Live (DC) 3/9/24	8	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI_QSHgfR5JfwJeRyIDl6IW	Selected tracks from a front table. Trevor Lewington was absent, so the set list was not as planned.   Full set list at https://www.setlist.fm/setlist/enter-the-haggis/2024/the-hamilton-live-washingto	PLJ7S-K0cjvGI_QSHgfR5JfwJeRyIDl6IW
2024-03-19	Rhiannon Giddens LIVE @ Music Center at Strathmore (MD) 3/18/24	5	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIXXPiJ7EZzNXDfS4lMfgqx	Charly Henry opened. Selected tracks from halfway back Orchestra.  Full set list at https://www.setlist.fm/setlist/rhiannon-giddens/2024/the-music-center-at-strathmore-north-bethesda-md-33aa1425.html	PLJ7S-K0cjvGIXXPiJ7EZzNXDfS4lMfgqx
2024-03-22	Jon Batiste LIVE @ Warner Theatre (DC) 3/21/24	10	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJuLiT_KdGO02wIRGYMWAHv	selected tracks from 5th row center.  Special unbilled appearance by Trombone Shorty!	PLJ7S-K0cjvGJuLiT_KdGO02wIRGYMWAHv
2024-04-01	New York's Finest (Police tribute) LIVE @ Collective Encore (MD) 3/30/24	8	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKV8dmIhHhH3LRq66gSB9CT	Selected tracks from a front table. Grabbed mostly deep cuts, but they did all the hits and a couple of Sting solo tracks as well. Cha!  full set list https://www.setlist.fm/setlist/new-yorks-finest/2	PLJ7S-K0cjvGKV8dmIhHhH3LRq66gSB9CT
2024-04-12	Shovels & Rope LIVE @ Ram's Head (MD) 4/10/24	9	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIFGFSF-fLwVbEHvIR9g-pK	Selected tracks from just in front of the mix Lotta people transiting in front of me Al Olender opening @AlOlender @shovelsandrope  printed set list was: https://www.setlist.fm/setlist/shovels-and-rop	PLJ7S-K0cjvGIFGFSF-fLwVbEHvIR9g-pK
