title	url
Rhiannon Giddens + Adia Victoria LIVE @ Clarice Smith Performing Arts Center 9/27/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIc1ntqg0LoA3Nwitvt7bXA
Wooten Brothers & Rebirth Brass Band LIVE @ Fillmore Silver Spring 10/5/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ1OZ7VePb6uyiVxN_qHmL3
Kenny Wayne Shepherd LIVE @ Capital One Hall 10/06/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKxppGZyUZqpFzipYNLus9t
Albert Cummings LIVE @ Jammin' Java 10/26/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIzU19hwvIT5Q2mCuVHurP_
Queen Latifah and friends LIVE @ Capital One Arena 10/22/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLBwSoqOc_FFDfCSQYpKfUq
Secret Sisters LIVE @ The Birchmere(VA) 10/22/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIK1oDr0TNnX6SP7p7uw01q
Līve LIVE @ Lincoln Theater (DC) 10/18/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIsX-lL-_Rf_C5goarTdqM5
Daniel Donato's Cosmic Country LIVE @ Pearl Street Warehouse (DC) 10/13/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGILAv53HPzLkFWGn2I7eKIN
Vanessa Collier LIVE @ Strathmore AMP 10/8/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQlkdygFKav6V1ZV8eBJtG
Shakey Graves + Sadurn LIVE @ 9:30 Club (DC) 11/13/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQbCrQ9b6_bJryFlPAAeKC
Liz Phair LIVE @ The Anthem (DC) 11/25/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK7QBK-sXIc5g_ZJnCJecir
The Lone Bellow @ The Barns at Wolf Trap 11/26/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKRyNDy8v0VqJXIn3HkT39K
Allman Betts Band LIVE @ Capital One Hall 12/5/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKHr_xJc757cjDVZFPzcd3w
Samantha Fish LIVE @ Fillmore Siliver Spring 12/3/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJm7BrRMqolPm0GAU4mLIdg
Tab Benoit LIVE @ Birchmere 12/4/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLoWqqwTUY1njk0tT8qlJ-j
Allison Russell LIVE @ Birchmere 12/11/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLNql2ZrYj2Xoyy8rSosOX6
Sadurn LIVE with Brassie & Glom @ The Atlantis DC 12/15/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL_NJe6hrWQkT33KqZJ_XnO
Jessie's Girl (80's covers) LIVE @ Fillmore Silver Spring 1/13/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK9hWQ61XCZsAylAeeS16Jb
Stevie Nicks LIVE @ Baltimore (CFG Bank Arena 2/17/24)	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJcFE5sqT_9vcUWZalieoP9
Brittany Howard LIVE @ 9:30 Club (DC) 2/21/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJmG4xyZZvbCuIshBz0YDOW
Eric Gales LIVE @ Hamilton Live (DC) 2/20/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJdK5OxTfFL4GWBWDqq4rxz
Joe Bonamassa LIVE @ MGM National Harbor 2/24/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK4BVPC2dM64vnOaegW09jL
Selwyn Birchwood LIVE @ Collective Encore 2/25/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJVT2D2wyr7quX0dlVx6FPB
